Time [s],LB_recipe_blank,LB_premade_blank,EZRDM+0.2glucose_blank,EZRDM+0.2succ_blank,MOPS_0.2succ_blank,LB_recipe_1,LB_premade_1,EZRDM+0.2glucose_1,EZRDM+0.2succ_1,MOPS_0.2succ_1,LB_recipe_2,LB_premade_2,EZRDM+0.2glucose_2,EZRDM+0.2succ_2,MOPS_0.2succ_2,LB_recipe_3,LB_premade_3,EZRDM+0.2glucose_3,EZRDM+0.2succ_3,MOPS_0.2succ_3
0,0.083999999,0.084799998,0.078699999,0.081,0.0792,0.087499999,0.088399999,0.085000001,0.083700001,0.084200002,0.085699998,0.085699998,0.080300003,0.0832,0.085100003,0.102600001,0.087300003,0.0845,0.086199999,0.083899997
926.7,0.083999999,0.084799998,0.079099998,0.084100001,0.085100003,0.089299999,0.112400003,0.086999997,0.084899999,0.084299996,0.0867,0.085900001,0.084799998,0.088,0.089199997,0.087200001,0.094099998,0.087399997,0.0867,0.083999999
1853.3,0.084100001,0.085000001,0.079000004,0.084700003,0.083899997,0.086400002,0.104599997,0.0867,0.082500003,0.083300002,0.086400002,0.085600004,0.0858,0.087800004,0.088500001,0.087200001,0.089599997,0.087800004,0.085299999,0.083700001
2780,0.083899997,0.0845,0.079499997,0.083700001,0.0836,0.086000003,0.104000002,0.088100001,0.082699999,0.086000003,0.086099997,0.085299999,0.086999997,0.087700002,0.087700002,0.086800002,0.087899998,0.088,0.085000001,0.102300003
3706.6,0.083700001,0.084399998,0.079700001,0.082800001,0.083700001,0.086099997,0.092500001,0.087200001,0.082900003,0.086400002,0.085699998,0.085100003,0.086000003,0.088799998,0.088100001,0.0867,0.0858,0.0876,0.083999999,0.097900003
4633,0.085000001,0.0858,0.080200002,0.084799998,0.084799998,0.087399997,0.099600002,0.088500001,0.085900001,0.090899996,0.086800002,0.086800002,0.088100001,0.088799998,0.089000002,0.087800004,0.086900003,0.0902,0.086400002,0.088699996
5559.6,0.084600002,0.085299999,0.079300001,0.0845,0.084700003,0.087200001,0.100199997,0.089100003,0.086000003,0.091600001,0.087200001,0.086800002,0.087700002,0.089500003,0.0898,0.087499999,0.088799998,0.102499999,0.087300003,0.092200004
6486.3,0.084399998,0.085000001,0.080399998,0.084299996,0.084100001,0.087200001,0.103799999,0.092,0.087099999,0.085699998,0.086599998,0.086599998,0.089000002,0.091300003,0.089000002,0.087300003,0.087499999,0.120200001,0.095700003,0.097999997
7412.9,0.084299996,0.084299996,0.079800002,0.082900003,0.083800003,0.087300003,0.093699999,0.090300001,0.088200003,0.086599998,0.086400002,0.087300003,0.089199997,0.092299998,0.089299999,0.087300003,0.087200001,0.1052,0.101800002,0.094099998
8339.6,0.084299996,0.084299996,0.079300001,0.083700001,0.082500003,0.087499999,0.100500003,0.103299998,0.091300003,0.085600004,0.086599998,0.088399999,0.0902,0.094099998,0.089400001,0.087300003,0.087899998,0.109399997,0.101800002,0.096299998
9266.2,0.084200002,0.084100001,0.0792,0.082800001,0.082999997,0.088299997,0.0999,0.112599999,0.094599999,0.086000003,0.086999997,0.089500003,0.093000002,0.097800002,0.0898,0.087300003,0.0889,0.105400003,0.107199997,0.094099998
10192.9,0.084299996,0.084100001,0.079000004,0.082699999,0.0832,0.0898,0.102600001,0.112499997,0.109999999,0.086199999,0.087800004,0.091499999,0.094899997,0.102700002,0.0902,0.087800004,0.090700001,0.109399997,0.1105,0.087800004
11119.5,0.084299996,0.084100001,0.079300001,0.082900003,0.0832,0.090899996,0.099100001,0.115099996,0.118199997,0.086499996,0.089000002,0.094800003,0.100000001,0.111900002,0.090499997,0.088100001,0.093099996,0.103299998,0.116300002,0.097800002
12046.2,0.084700003,0.0845,0.079400003,0.0832,0.0836,0.093199998,0.106399998,0.1259,0.133200005,0.087899998,0.091399997,0.100199997,0.108900003,0.1259,0.091300003,0.090599999,0.098099999,0.108400002,0.125200003,0.092
12972.8,0.084899999,0.084600002,0.079400003,0.083800003,0.083999999,0.097499996,0.116800003,0.136000007,0.156200007,0.090800002,0.094599999,0.108099997,0.122900002,0.149000004,0.092399999,0.091600001,0.106700003,0.122500002,0.147400007,0.0973
13899.5,0.084899999,0.084399998,0.079300001,0.083800003,0.083899997,0.104099996,0.134100005,0.157499999,0.192399994,0.0889,0.099299997,0.121100001,0.145400003,0.181199998,0.092699997,0.094599999,0.119599998,0.144600004,0.180600002,0.096500002
14826.1,0.085500002,0.085100003,0.079899997,0.084200002,0.083899997,0.117399998,0.147300005,0.187399998,0.222800002,0.094999999,0.108099997,0.139899999,0.174099997,0.213100001,0.0942,0.100699998,0.139200002,0.179499999,0.216000006,0.098899998
15752.8,0.085600004,0.085100003,0.081,0.084600002,0.082599998,0.135299996,0.168300003,0.203999996,0.243599996,0.098300003,0.1215,0.162599996,0.2007,0.233400002,0.094599999,0.111100003,0.163499996,0.203799993,0.240899995,0.096900001
16679.4,0.085500002,0.085000001,0.081100002,0.084600002,0.083400004,0.158700004,0.193399996,0.229900002,0.263300002,0.100599997,0.143999994,0.184499994,0.225600004,0.254000008,0.096100003,0.1285,0.189999998,0.236699998,0.269400001,0.096199997
17606.1,0.086099997,0.085699998,0.080799997,0.084899999,0.083700001,0.182300001,0.2148,0.251700014,0.28459999,0.101400003,0.169400007,0.207100004,0.250800014,0.270200014,0.097800002,0.156399995,0.213200003,0.259799987,0.291999996,0.098800004
18532.7,0.085699998,0.085100003,0.079700001,0.085699998,0.085199997,0.203199998,0.237499997,0.269400001,0.305099994,0.100400001,0.193499997,0.229699999,0.271100014,0.286900014,0.0986,0.183899999,0.239399999,0.277799994,0.315100014,0.093500003
19459.4,0.085699998,0.085199997,0.080200002,0.084799998,0.083499998,0.224700004,0.262800008,0.2852,0.32249999,0.104400001,0.217800006,0.253399998,0.287900001,0.305500001,0.101000004,0.212300003,0.263999999,0.293599993,0.333299994,0.1083
20386,0.085299999,0.084700003,0.078900002,0.083800003,0.0832,0.243499994,0.282299995,0.300000012,0.349099994,0.100199997,0.243300006,0.278200001,0.304199994,0.323599994,0.102200001,0.2403,0.289900005,0.311699986,0.354999989,0.110299997
21312.7,0.085699998,0.085299999,0.080700003,0.084600002,0.084100001,0.263700008,0.303299993,0.314099997,0.368499994,0.105300002,0.268000007,0.300700009,0.320899993,0.343199998,0.105400003,0.2685,0.305900007,0.327600002,0.379799992,0.1096
22239.3,0.085699998,0.085000001,0.0801,0.0845,0.084100001,0.283100009,0.317200005,0.331499994,0.394899994,0.1083,0.292299986,0.317799985,0.333299994,0.362699986,0.108599998,0.297199994,0.324400008,0.341199994,0.404700011,0.112499997
23165.6,0.086000003,0.085699998,0.080700003,0.084899999,0.084700003,0.302100003,0.334399998,0.342500001,0.413500011,0.113300003,0.318899989,0.337700009,0.345600009,0.382499993,0.1171,0.324499995,0.343499988,0.352400005,0.4296,0.116700001
24092,0.0854,0.086000003,0.079400003,0.086099997,0.083700001,0.321500003,0.352100015,0.354200006,0.437000006,0.123499997,0.341899991,0.356400013,0.357899994,0.404700011,0.124200001,0.34799999,0.363799989,0.366400003,0.457500011,0.120899998
25018.6,0.086000003,0.085500002,0.079999998,0.084600002,0.084399998,0.339700013,0.367300004,0.364499986,0.457500011,0.135900006,0.360100001,0.373899996,0.369100004,0.423099995,0.130600005,0.367399991,0.377000004,0.377999991,0.476300001,0.125799999
25945.3,0.085900001,0.085199997,0.080200002,0.083999999,0.082400002,0.355599999,0.382800013,0.376599997,0.476599991,0.128600001,0.377499998,0.386900008,0.383899987,0.443199992,0.133000001,0.38530001,0.391299993,0.391400009,0.50120002,0.132499993
26871.9,0.085500002,0.084899999,0.079499997,0.083099999,0.083400004,0.370099992,0.395700008,0.387499988,0.500999987,0.142000005,0.395900011,0.404300004,0.395700008,0.464599997,0.146200001,0.405099988,0.414700001,0.405499995,0.526799977,0.139599994
27798.6,0.085699998,0.085000001,0.079499997,0.0832,0.083700001,0.381700009,0.414600015,0.400999993,0.533699989,0.153400004,0.414999992,0.418099999,0.407799989,0.486799985,0.157299995,0.426499993,0.427399993,0.419,0.5528,0.148800001
28725.2,0.085699998,0.0854,0.079800002,0.083899997,0.082099997,0.39199999,0.432900012,0.412699997,0.5449,0.161500007,0.4278,0.437299997,0.4199,0.509000003,0.164700001,0.439200014,0.448000014,0.433400005,0.573599994,0.159799993
29651.8,0.0858,0.085199997,0.080499999,0.084200002,0.082999997,0.404199988,0.443199992,0.423400015,0.573400021,0.175999999,0.445899993,0.451900005,0.433400005,0.530700028,0.181099996,0.460900009,0.452899992,0.44690001,0.606899977,0.171299994
30578.5,0.085600004,0.084899999,0.079700001,0.083999999,0.082599998,0.418099999,0.458600014,0.437599987,0.589900017,0.186800003,0.458600014,0.463800013,0.448399991,0.550899982,0.1928,0.47389999,0.47330001,0.463999987,0.629999995,0.1831
31505.2,0.085600004,0.084799998,0.079499997,0.084200002,0.083400004,0.429399997,0.469300002,0.44749999,0.621500015,0.198899999,0.478100002,0.481900007,0.461100012,0.573899984,0.203700006,0.485599995,0.480199993,0.474599987,0.641900003,0.195700005
32431.5,0.0854,0.084700003,0.0788,0.083999999,0.082599998,0.441000015,0.481299996,0.460999995,0.641300023,0.211500004,0.488700002,0.485300004,0.475100011,0.600799978,0.215800002,0.495900005,0.487300009,0.490399987,0.654600024,0.207699999
33357.9,0.085000001,0.0845,0.079599999,0.083300002,0.082099997,0.455000013,0.496499985,0.475600004,0.656700015,0.221399993,0.502799988,0.500899971,0.490799993,0.629100025,0.2271,0.511300027,0.506099999,0.507200003,0.667200029,0.221399993
34284.5,0.085199997,0.085699998,0.079400003,0.0836,0.084100001,0.467900008,0.506900012,0.486600012,0.667299986,0.231399998,0.512300014,0.511600018,0.502699971,0.639100015,0.237900004,0.516799986,0.514999986,0.519400001,0.673300028,0.233400002
35211.2,0.085600004,0.085000001,0.079000004,0.083099999,0.082500003,0.476200014,0.514900029,0.494899988,0.671299994,0.240999997,0.519800007,0.524299979,0.512799978,0.645699978,0.247500002,0.522300005,0.521899998,0.531099975,0.676299989,0.245800003
36137.8,0.086000003,0.085199997,0.079599999,0.084600002,0.082699999,0.484400004,0.524399996,0.505299985,0.682399988,0.251300007,0.530900002,0.527499974,0.521700025,0.653699994,0.258399993,0.524600029,0.530499995,0.542299986,0.67750001,0.259000003
37065.3,0.0867,0.085699998,0.080200002,0.084399998,0.083800003,0.492399991,0.536499977,0.515500009,0.684499979,0.263399988,0.537899971,0.536499977,0.533100009,0.6602,0.2685,0.530499995,0.538299978,0.55400002,0.680800021,0.272700012
37991.9,0.086000003,0.086300001,0.079300001,0.083999999,0.082500003,0.5079,0.546000004,0.529200017,0.687399983,0.273200005,0.544799984,0.546199977,0.549000025,0.663900018,0.280900002,0.539799988,0.545099974,0.565999985,0.686699986,0.284999996
38918.5,0.086300001,0.085100003,0.079400003,0.0836,0.0823,0.517099977,0.551500022,0.538299978,0.692700028,0.28490001,0.5528,0.555599988,0.559700012,0.667699993,0.291700006,0.537100017,0.550599992,0.571500003,0.687600017,0.298200011
39845.2,0.086099997,0.085100003,0.079899997,0.084200002,0.082500003,0.521899998,0.565900028,0.548600018,0.690800011,0.294699997,0.560899973,0.560000002,0.569599986,0.67019999,0.303200006,0.530900002,0.564499974,0.577700019,0.688899994,0.310799986
40771.8,0.085500002,0.084899999,0.081699997,0.083899997,0.083400004,0.538699985,0.573599994,0.556900024,0.700100005,0.305000007,0.568300009,0.572700024,0.576900005,0.676400006,0.314399987,0.528599977,0.561600029,0.580799997,0.692499995,0.323599994
41698.2,0.086099997,0.0854,0.080300003,0.083099999,0.083300002,0.542500019,0.579699993,0.564800024,0.701699972,0.317600012,0.563600004,0.575800002,0.579400003,0.680700004,0.327399999,0.524500012,0.569100022,0.583299994,0.695800006,0.345999986
42624.5,0.0858,0.085100003,0.080600001,0.083400004,0.083999999,0.549099982,0.592000008,0.572300017,0.701200008,0.33039999,0.559800029,0.585399985,0.586300015,0.677100003,0.337000012,0.51910001,0.573300004,0.584399998,0.695200026,0.361999989
43551.1,0.085299999,0.084700003,0.079599999,0.082800001,0.083499998,0.566200018,0.603100002,0.582700014,0.70599997,0.344000012,0.562099993,0.589100003,0.591600001,0.680899978,0.352899998,0.518000007,0.578400016,0.592999995,0.697700024,0.363700002
44477.8,0.085500002,0.084700003,0.079800002,0.082999997,0.083099999,0.569800019,0.607299984,0.590499997,0.70480001,0.362699986,0.553600013,0.595300019,0.593900025,0.683700025,0.37560001,0.507399976,0.579900026,0.594099998,0.694999993,0.361499995
45404.4,0.085199997,0.0845,0.079400003,0.0832,0.081900001,0.575100005,0.609899998,0.595499992,0.708400011,0.367399991,0.551699996,0.597000003,0.594500005,0.686999977,0.382499993,0.507099986,0.582400024,0.590799987,0.694999993,0.365200013
46331.1,0.0854,0.084700003,0.079300001,0.083099999,0.082500003,0.578499973,0.619000018,0.598699987,0.707400024,0.366600007,0.545700014,0.605400026,0.599300027,0.681900024,0.381799996,0.505200028,0.582099974,0.593599975,0.694000006,0.364100009
47257.7,0.085900001,0.085100003,0.079000004,0.082900003,0.083499998,0.572399974,0.622200012,0.601400018,0.702099979,0.366600007,0.537400007,0.602999985,0.596899986,0.677699983,0.381199986,0.498699993,0.583299994,0.588400006,0.690400004,0.367700011
48184.4,0.085600004,0.085000001,0.079499997,0.082999997,0.083400004,0.578199983,0.625400007,0.605599999,0.706799984,0.369100004,0.532800019,0.610099971,0.597199976,0.67839998,0.382699996,0.494599998,0.591600001,0.586600006,0.688199997,0.369599998
49111,0.086000003,0.085100003,0.079899997,0.083800003,0.083499998,0.574199975,0.620100021,0.604200006,0.699500024,0.368499994,0.52640003,0.605099976,0.593500018,0.671400011,0.383300006,0.4903,0.586099982,0.580500007,0.686399996,0.368099988
50037.7,0.086999997,0.086099997,0.079899997,0.0836,0.084399998,0.5704,0.618600011,0.600899994,0.702400029,0.371199995,0.522099972,0.601700008,0.584999979,0.674899995,0.38499999,0.486200005,0.587899983,0.57160002,0.682799995,0.366299987
50964.3,0.085900001,0.0854,0.0792,0.083300002,0.082800001,0.573099971,0.627200007,0.601000011,0.701499999,0.371300012,0.520500004,0.611100018,0.583100021,0.677900016,0.386400014,0.485199988,0.592499971,0.567099988,0.684899986,0.368099988
51891,0.0858,0.086300001,0.0801,0.0836,0.082699999,0.572700024,0.629899979,0.596000016,0.698199987,0.375800014,0.517499983,0.611699998,0.581700027,0.671999991,0.385899991,0.483399987,0.592199981,0.569000006,0.683700025,0.368600011
52817.6,0.085699998,0.085000001,0.079599999,0.082699999,0.082800001,0.569299996,0.634899974,0.593800008,0.702499986,0.373699993,0.512399971,0.618200004,0.577199996,0.672500014,0.387400001,0.484400004,0.596499979,0.562900007,0.679899991,0.370200008
53744.3,0.086000003,0.086000003,0.079499997,0.084200002,0.0832,0.567900002,0.634599984,0.586799979,0.696200013,0.368800014,0.506799996,0.618600011,0.569000006,0.668200016,0.387100011,0.480800003,0.602699995,0.559499979,0.678200006,0.367700011
